addr,status,reason,circ,guard_fp,middle_fp,exit_fp,hsdir_fp,start,end
7w7h466dcozjumip3mqzjhhoxfxxqfn7lzjegjkkzdnq54oavtrmhwqd,failed,not_found,,,,,6AE157FF2201B2B74DAE6F55D690F4C509B30DB9,2020-06-19 09:52:51.300000,2020-06-19 09:52:51.582000
7w7h466dcozjumip3mqzjhhoxfxxqfn7lzjegjkkzdnq54oavtrmhwqd,failed,not_found,,,,,15571673BCE30678EC5F895C9F59EB1C01CBBC56,2020-06-19 09:52:51.583000,2020-06-19 09:52:51.802000
7w7h466dcozjumip3mqzjhhoxfxxqfn7lzjegjkkzdnq54oavtrmhwqd,failed,not_found,9,ACC874AD6D4D3AC308CB6C044620A159A1123196,1CA811478AB30F5DE80825E15F95AF18DCD32B2F,874D84382C892F3F61CC9E106BF08843DE0B865A,3AF69B3ECCB000879CA1BCD0B36B619DBF712291,2020-06-19 09:52:51.802000,2020-06-19 09:52:52.514000
7w7h466dcozjumip3mqzjhhoxfxxqfn7lzjegjkkzdnq54oavtrmhwqd,failed,not_found,17,ACC874AD6D4D3AC308CB6C044620A159A1123196,0CC18E42E5ECADFE76862CE2EB7189EFA17A11FD,FB016E16B8CD7A0E53DEEF31ED8754E4F6B8E837,7D693C2A9C3B0B2D69F473AF1C0E1CBE05EAD412,2020-06-19 09:52:52.515000,2020-06-19 09:52:53.101000
7w7h466dcozjumip3mqzjhhoxfxxqfn7lzjegjkkzdnq54oavtrmhwqd,failed,not_found,25,ACC874AD6D4D3AC308CB6C044620A159A1123196,70F09E981D6D4A34A35F248F0C873CBA356A0612,3A56936CC69F13737872697DBC8415444F499FFC,2D8AFA912E2B8623BB2CDACD19332209D524D1A3,2020-06-19 09:52:53.102000,2020-06-19 09:52:53.549000
7w7h466dcozjumip3mqzjhhoxfxxqfn7lzjegjkkzdnq54oavtrmhwqd,failed,not_found,28,ACC874AD6D4D3AC308CB6C044620A159A1123196,0C2781011D61CCB009459B51158DA6328BA3DB3B,B112BFC33CE1D25C22D97EFE0EECC6CD1F01A8E5,6E94866ED8CA098BACDFD36D4E8E2B459B8A734E,2020-06-19 09:52:53.550000,2020-06-19 09:52:55.235000
cflare2nge4h4yqr3574crrd7k66lil3torzbisz6uciyuzqc2h2ykyd,received,,7,ACC874AD6D4D3AC308CB6C044620A159A1123196,D0E1962B2460BA54D81E1426300D09720E6D43EB,F5F4019509109A07E90C45A022CEED9ECA1643C8,8D7A12CE72DDD9A1FC6B18BC3704C136FD1444C0,2020-06-19 09:52:51.431000,2020-06-19 09:52:52.210000
nzegj5u5hhmv6bvvmwcqe3o35srevboqccurmwolnzhmy3xu2j2uikqd,failed,not_found,8,ACC874AD6D4D3AC308CB6C044620A159A1123196,F6740DEABFD5F62612FA025A5079EA72846B1F67,638D91FC9EF661348A6994D04C3499BC03F50BBE,D628832091562BD6F28E94DCB56EC3E5B10DC1C6,2020-06-19 09:52:51.623000,2020-06-19 09:52:52.069000
nzegj5u5hhmv6bvvmwcqe3o35srevboqccurmwolnzhmy3xu2j2uikqd,failed,not_found,12,ACC874AD6D4D3AC308CB6C044620A159A1123196,D1E706B9021A0BF8E9663DB207D9D9EC03A70DAC,E3D61BAEA0B7CB12CACEDC8821C520557BDFCEA3,046F2D59A85FAE693676A87533717C57436261C2,2020-06-19 09:52:52.069000,2020-06-19 09:52:52.459000
nzegj5u5hhmv6bvvmwcqe3o35srevboqccurmwolnzhmy3xu2j2uikqd,failed,not_found,16,ACC874AD6D4D3AC308CB6C044620A159A1123196,B33C5B8DDD2EB50EE0B9916547EBDE2BCA3BC567,BE9B12FAAB7429842D643E2308390ECD8961E0A1,9EFF16EA25FF27BC438A3FBF23C5315E576467AF,2020-06-19 09:52:52.460000,2020-06-19 09:52:53.201000
