circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
5,general,built,,,2020-06-19 09:54:13.284000,2020-06-19 09:54:13.292000,2020-06-19 09:54:13.374000,2020-06-19 09:54:13.436000,,2020-06-19 09:54:13.436000,
6,hs_client_intro,built,,,2020-06-19 09:54:13.726000,2020-06-19 09:54:13.726000,2020-06-19 09:54:13.726000,2020-06-19 09:54:13.829000,2020-06-19 09:54:13.994000,2020-06-19 09:54:13.995000,
7,hs_client_hsdir,built,,812D17F974F2CCD7AAE585A879783C2EF96687DE,2020-06-19 09:54:13.829000,2020-06-19 09:54:13.841000,2020-06-19 09:54:13.863000,2020-06-19 09:54:13.971000,2020-06-19 09:54:14.197000,2020-06-19 09:54:14.198000,
8,hs_client_hsdir,built,,883F49ECDF48809308C0E5409E5A264B94050140,2020-06-19 09:54:14.143000,2020-06-19 09:54:14.145000,2020-06-19 09:54:14.197000,2020-06-19 09:54:14.276000,2020-06-19 09:54:14.386000,2020-06-19 09:54:14.386000,
9,hs_client_hsdir,built,,727ED93D30D89AF5412EDF3AD26209865AD4CA44,2020-06-19 09:54:14.294000,2020-06-19 09:54:14.298000,2020-06-19 09:54:14.362000,2020-06-19 09:54:14.440000,2020-06-19 09:54:14.529000,2020-06-19 09:54:14.440000,2020-06-19 09:54:14.529000
10,hs_client_hsdir,built,,AA34219475E41282095DD3C088009EE562AF14E5,2020-06-19 09:54:14.474000,2020-06-19 09:54:14.487000,2020-06-19 09:54:14.531000,2020-06-19 09:54:14.599000,2020-06-19 09:54:14.739000,2020-06-19 09:54:14.740000,
11,hs_client_hsdir,built,,AE17FAAF8F302A506AF2167666EC62882804403F,2020-06-19 09:54:14.528000,2020-06-19 09:54:14.530000,2020-06-19 09:54:14.590000,2020-06-19 09:54:14.685000,2020-06-19 09:54:14.831000,2020-06-19 09:54:14.831000,
12,hs_client_hsdir,built,,5F48099D10E2E33608FF68DBD104D229E4B14F0C,2020-06-19 09:54:14.640000,2020-06-19 09:54:14.648000,2020-06-19 09:54:14.703000,2020-06-19 09:54:14.772000,2020-06-19 09:54:14.899000,2020-06-19 09:54:14.900000,
13,hs_client_hsdir,built,,3916A2629792382F79E5C0F78A3CBC045A027019,2020-06-19 09:54:14.806000,2020-06-19 09:54:14.819000,2020-06-19 09:54:14.898000,2020-06-19 09:54:14.996000,2020-06-19 09:54:15.113000,2020-06-19 09:54:15.114000,
14,hs_client_hsdir,built,,072D3A604ABA07D29C4A4F4BE6D6869C8DDBFE66,2020-06-19 09:54:14.898000,2020-06-19 09:54:14.908000,2020-06-19 09:54:14.968000,2020-06-19 09:54:15.027000,2020-06-19 09:54:15.134000,2020-06-19 09:54:15.134000,
15,hs_client_hsdir,built,,60685893A57D66562A0754BEE3B6A6E68082C8BE,2020-06-19 09:54:15,2020-06-19 09:54:15.044000,2020-06-19 09:54:15.123000,2020-06-19 09:54:15.212000,2020-06-19 09:54:15.338000,2020-06-19 09:54:15.339000,
16,hs_client_hsdir,built,,CB040846C647F338EE1950C6CC03267102088C50,2020-06-19 09:54:15.053000,2020-06-19 09:54:15.102000,2020-06-19 09:54:15.134000,2020-06-19 09:54:15.219000,2020-06-19 09:54:15.550000,2020-06-19 09:54:15.551000,
17,hs_client_hsdir,built,,F0E40D2CD68BCEE16FA6B768FE48062AEF093B1E,2020-06-19 09:54:15.142000,2020-06-19 09:54:15.154000,2020-06-19 09:54:15.211000,2020-06-19 09:54:15.393000,2020-06-19 09:54:15.798000,2020-06-19 09:54:15.798000,
18,hs_client_hsdir,built,,D23237619B80642BF653A74D0912A61CF8AA4D6F,2020-06-19 09:54:15.237000,2020-06-19 09:54:15.240000,2020-06-19 09:54:15.310000,2020-06-19 09:54:15.458000,2020-06-19 09:54:15.627000,2020-06-19 09:54:15.627000,
19,hs_client_hsdir,built,,B48AC5F547DBB847EFB88480BFB86D41211ED617,2020-06-19 09:54:15.293000,2020-06-19 09:54:15.297000,2020-06-19 09:54:15.426000,2020-06-19 09:54:15.752000,2020-06-19 09:54:16.227000,2020-06-19 09:54:15.753000,2020-06-19 09:54:16.227000
20,hs_client_hsdir,built,,C82A233A89DC3D94CF321E1622D9A538E126C216,2020-06-19 09:54:15.356000,2020-06-19 09:54:15.372000,2020-06-19 09:54:15.436000,2020-06-19 09:54:15.572000,2020-06-19 09:54:15.808000,2020-06-19 09:54:15.809000,
21,hs_client_hsdir,built,,38F0B34A86E19A2C65B20F95BFB0CBE40E3165C9,2020-06-19 09:54:15.476000,2020-06-19 09:54:15.498000,2020-06-19 09:54:15.530000,2020-06-19 09:54:15.592000,2020-06-19 09:54:15.729000,2020-06-19 09:54:15.730000,
22,measure_timeout,built,timeout,,2020-06-19 09:54:15.498000,2020-06-19 09:54:15.500000,2020-06-19 09:54:15.520000,2020-06-19 09:54:16.360000,2020-06-19 09:54:30.581000,2020-06-19 09:54:22.332000,2020-06-19 09:54:30.581000
23,hs_client_hsdir,built,,A604086EAE838774F809811925A223DCFDBB1D17,2020-06-19 09:54:15.873000,2020-06-19 09:54:15.890000,2020-06-19 09:54:15.981000,2020-06-19 09:54:16.106000,2020-06-19 09:54:16.251000,2020-06-19 09:54:16.251000,
24,hs_client_hsdir,built,,9F90783A672015D4D40F22902964B92AD0EA0C17,2020-06-19 09:54:15.902000,2020-06-19 09:54:15.934000,2020-06-19 09:54:15.981000,2020-06-19 09:54:16.072000,2020-06-19 09:54:16.188000,2020-06-19 09:54:16.188000,
25,hs_client_hsdir,built,,6F901069356A789F02294F18A4D5FE1368239702,2020-06-19 09:54:15.933000,2020-06-19 09:54:15.937000,2020-06-19 09:54:15.982000,2020-06-19 09:54:16.081000,2020-06-19 09:54:16.264000,2020-06-19 09:54:16.265000,
26,hs_client_hsdir,built,,799D4E64771CFA37BB31C8237141A56EA7D9AB02,2020-06-19 09:54:16.071000,2020-06-19 09:54:16.081000,2020-06-19 09:54:16.187000,2020-06-19 09:54:16.263000,2020-06-19 09:54:16.479000,2020-06-19 09:54:16.479000,
