circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
6,general,built,,,2020-06-19 11:06:24.034000,2020-06-19 11:06:24.043000,2020-06-19 11:06:24.220000,2020-06-19 11:06:24.542000,,2020-06-19 11:06:24.542000,
7,hs_client_hsdir,built,,2BE597D0A2255A4E8F44CBFB126B7A7A12A9737B,2020-06-19 11:06:24.997000,2020-06-19 11:06:25.006000,2020-06-19 11:06:25.078000,2020-06-19 11:06:25.189000,2020-06-19 11:06:25.463000,2020-06-19 11:06:25.463000,
8,measure_timeout,built,timeout,,2020-06-19 11:06:25.039000,2020-06-19 11:06:25.064000,2020-06-19 11:06:25.178000,2020-06-19 11:06:33.748000,,2020-06-19 11:06:30.054000,2020-06-19 11:06:33.748000
9,hs_client_hsdir,built,,845E9DF1D33DB3662F769E868390C258C4E6EBB9,2020-06-19 11:06:25.064000,2020-06-19 11:06:25.078000,2020-06-19 11:06:25.115000,2020-06-19 11:06:25.321000,2020-06-19 11:06:25.618000,2020-06-19 11:06:25.619000,
10,hs_client_hsdir,built,,56DCA89A6B41ADA30E891EF65FDCC071DC05079B,2020-06-19 11:06:25.077000,2020-06-19 11:06:25.082000,2020-06-19 11:06:25.309000,2020-06-19 11:06:25.719000,2020-06-19 11:06:26.230000,2020-06-19 11:06:26.231000,
11,hs_client_hsdir,built,,3CEF68373ADB77D70C2B17E808D5B01A4E1567A7,2020-06-19 11:06:25.293000,2020-06-19 11:06:25.299000,2020-06-19 11:06:25.357000,2020-06-19 11:06:25.448000,2020-06-19 11:06:25.868000,2020-06-19 11:06:25.869000,
12,hs_client_hsdir,failed,destroyed,,2020-06-19 11:06:25.460000,2020-06-19 11:06:25.475000,2020-06-19 11:06:25.608000,,,2020-06-19 11:06:25.839000,
13,hs_client_hsdir,built,,644DECC5A1879C0FE23DE927DD7049F58BBDF349,2020-06-19 11:06:25.678000,2020-06-19 11:06:25.680000,2020-06-19 11:06:25.719000,2020-06-19 11:06:25.813000,2020-06-19 11:06:25.962000,2020-06-19 11:06:25.963000,
14,hs_client_hsdir,built,,D6C9E7E43A44EBFE0E84984AF758D1F5CF313079,2020-06-19 11:06:25.726000,2020-06-19 11:06:25.765000,2020-06-19 11:06:25.812000,2020-06-19 11:06:25.930000,2020-06-19 11:06:26.277000,2020-06-19 11:06:26.277000,
15,hs_client_hsdir,built,,3BBF9D98C7D058D7C2E60F6BA5BD574CB4F3FE26,2020-06-19 11:06:25.870000,2020-06-19 11:06:25.881000,2020-06-19 11:06:25.962000,2020-06-19 11:06:26.083000,2020-06-19 11:06:26.277000,2020-06-19 11:06:26.278000,
