circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
6,hs_client_intro,built,,,2020-06-19 11:56:19.457000,2020-06-19 11:56:19.457000,2020-06-19 11:56:19.499000,2020-06-19 11:56:19.520000,2020-06-19 11:56:19.620000,2020-06-19 11:56:19.621000,
7,hs_client_hsdir,built,,03E0F4EE272731601773F48E64240D3A8896A5E3,2020-06-19 11:56:19.571000,2020-06-19 11:56:19.578000,2020-06-19 11:56:19.648000,2020-06-19 11:56:19.792000,2020-06-19 11:56:19.949000,2020-06-19 11:56:19.950000,
8,hs_client_hsdir,built,,8310CD1382D6F0D461B35693C96C853D7F70D145,2020-06-19 11:56:19.812000,2020-06-19 11:56:19.822000,2020-06-19 11:56:19.863000,2020-06-19 11:56:19.948000,2020-06-19 11:56:20.027000,2020-06-19 11:56:20.028000,
9,hs_client_hsdir,built,,C5A6FEE5BC3BE19F5B9EB086CA95DAD393D8A4F6,2020-06-19 11:56:20.001000,2020-06-19 11:56:20.007000,2020-06-19 11:56:20.051000,2020-06-19 11:56:20.174000,2020-06-19 11:56:20.711000,2020-06-19 11:56:20.175000,2020-06-19 11:56:20.712000
10,hs_client_hsdir,built,,5D995EC983ED3DF9DAABD32B9BF1540AFF42A457,2020-06-19 11:56:20.085000,2020-06-19 11:56:20.112000,2020-06-19 11:56:20.151000,2020-06-19 11:56:20.248000,2020-06-19 11:56:20.373000,2020-06-19 11:56:20.374000,
11,hs_client_hsdir,built,,04DFE047ACDF7A6620ACA782FAFC5EF1AE7F4754,2020-06-19 11:56:20.126000,2020-06-19 11:56:20.137000,2020-06-19 11:56:20.215000,2020-06-19 11:56:20.309000,2020-06-19 11:56:20.901000,2020-06-19 11:56:20.901000,
12,hs_client_hsdir,built,,4045BE5027700008F826CF4FAC28ECADC12A4B69,2020-06-19 11:56:20.137000,2020-06-19 11:56:20.150000,2020-06-19 11:56:20.391000,2020-06-19 11:56:20.728000,2020-06-19 11:56:20.992000,2020-06-19 11:56:20.992000,
13,hs_client_hsdir,built,,B13C2C569F3FD0C530B7D96E5FF7933DF7A0E834,2020-06-19 11:56:20.495000,2020-06-19 11:56:20.504000,2020-06-19 11:56:20.533000,2020-06-19 11:56:20.593000,2020-06-19 11:56:20.785000,2020-06-19 11:56:20.786000,
14,hs_client_hsdir,built,,CD9BFE309010778D64ED5E55D5EEAA92B2020DE8,2020-06-19 11:56:20.552000,2020-06-19 11:56:20.584000,2020-06-19 11:56:20.628000,2020-06-19 11:56:20.710000,2020-06-19 11:56:21.017000,2020-06-19 11:56:21.018000,
15,hs_client_hsdir,built,,CCB232E5AA10CDCBD54E919AAEA2D02883223AB5,2020-06-19 11:56:20.802000,2020-06-19 11:56:20.814000,2020-06-19 11:56:20.883000,2020-06-19 11:56:20.960000,2020-06-19 11:56:21.296000,2020-06-19 11:56:21.296000,
16,hs_client_hsdir,built,,0BADD9510440C9BF3A728F2CB630836FF98142B2,2020-06-19 11:56:20.900000,2020-06-19 11:56:20.913000,2020-06-19 11:56:21.017000,2020-06-19 11:56:21.192000,2020-06-19 11:56:21.451000,2020-06-19 11:56:21.451000,
17,hs_client_hsdir,built,,A2CD32D9D0668DB764AD68C745CE29693CA851B9,2020-06-19 11:56:21.010000,2020-06-19 11:56:21.026000,2020-06-19 11:56:21.046000,2020-06-19 11:56:21.129000,2020-06-19 11:56:21.287000,2020-06-19 11:56:21.129000,2020-06-19 11:56:21.287000
18,hs_client_hsdir,built,,B1080EA61CAF5763139E7B596F37FE9830311C8F,2020-06-19 11:56:21.070000,2020-06-19 11:56:21.094000,2020-06-19 11:56:21.169000,2020-06-19 11:56:21.360000,2020-06-19 11:56:21.696000,2020-06-19 11:56:21.697000,
19,hs_client_hsdir,built,,CBD0D1BD110EC52963082D839AC6A89D0AE243E7,2020-06-19 11:56:21.285000,2020-06-19 11:56:21.295000,2020-06-19 11:56:21.350000,2020-06-19 11:56:21.449000,2020-06-19 11:56:21.567000,2020-06-19 11:56:21.567000,
20,hs_client_hsdir,built,,96E095D5CDBFC3988DEB708EC155346472402C32,2020-06-19 11:56:21.300000,2020-06-19 11:56:21.312000,2020-06-19 11:56:21.351000,2020-06-19 11:56:21.516000,2020-06-19 11:56:21.975000,2020-06-19 11:56:21.975000,
21,hs_client_hsdir,built,,54371D64F4AED8CD1EF8ED1B58C725C4063BDE42,2020-06-19 11:56:21.305000,2020-06-19 11:56:21.312000,2020-06-19 11:56:21.360000,2020-06-19 11:56:21.450000,2020-06-19 11:56:21.663000,2020-06-19 11:56:21.664000,
