addr,status,reason,circ,guard_fp,middle_fp,exit_fp,hsdir_fp,start,end
cflareusni3s7vwhq2f7gc4opsik7aa4t2ajedhzr42ez6uajaywh3qd,received,,,,,,0B28C72A82D4CE016016DAB98D077C997F524AA1,2020-06-19 12:04:39.096000,2020-06-19 12:04:39.556000
5nunlrupnyzxzxwallvmv2fd5pkfulzcj7diihaoc7vcsyfbvdhmx3yd,failed,not_found,,,,,D628F6BB2330B3F78DBB4BED466B0A586D74782E,2020-06-19 12:04:39.477000,2020-06-19 12:04:39.868000
5nunlrupnyzxzxwallvmv2fd5pkfulzcj7diihaoc7vcsyfbvdhmx3yd,failed,not_found,10,ACC874AD6D4D3AC308CB6C044620A159A1123196,B6E40167BE842F279B11B2A0F594718387AA75E5,99E246DB480B313A3012BC3363093CC26CD209C7,438F3EA4C9FB0DB63F5377A3271AB5435FAD7E04,2020-06-19 12:04:39.869000,2020-06-19 12:04:40.379000
5nunlrupnyzxzxwallvmv2fd5pkfulzcj7diihaoc7vcsyfbvdhmx3yd,failed,not_found,14,ACC874AD6D4D3AC308CB6C044620A159A1123196,1079E628FC6B0025656AC024F2D9975C441498CD,9AB93B5422149E5DFF4BE6A3814E2F6D9648DB6A,CCD879EE5FBC5FE758C8EC098D40372C7C82C5C0,2020-06-19 12:04:40.380000,2020-06-19 12:04:40.766000
5nunlrupnyzxzxwallvmv2fd5pkfulzcj7diihaoc7vcsyfbvdhmx3yd,failed,not_found,20,ACC874AD6D4D3AC308CB6C044620A159A1123196,CD39C258265B25EAA4ABA4FDCB2DF98104CAA362,B55B11A739C43396B10CC621D9C9F9D7F3A8CDE4,C395592F1D779E6775806AFFAD66199E3972DAA2,2020-06-19 12:04:40.768000,2020-06-19 12:04:41.192000
5nunlrupnyzxzxwallvmv2fd5pkfulzcj7diihaoc7vcsyfbvdhmx3yd,failed,not_found,25,ACC874AD6D4D3AC308CB6C044620A159A1123196,24E1C6412183972BFD76D838AC04D1ED261743D3,55DFC821E839E6DEF172942085C5DED2302C90B2,D17446B2498844368284A0C30DFAC515DDEBAB8C,2020-06-19 12:04:41.193000,2020-06-19 12:04:41.481000
5nunlrupnyzxzxwallvmv2fd5pkfulzcj7diihaoc7vcsyfbvdhmx3yd,failed,not_found,31,ACC874AD6D4D3AC308CB6C044620A159A1123196,786926E8C497A6924ED69E23D48B13E92D1E07EE,CB1EC403A7331FE26F218D178DF8908014CC4F65,17460997E66C47F805A834BE93CC14EC0DC608EA,2020-06-19 12:04:41.482000,2020-06-19 12:04:42.024000
cp6p52tev2lrlk32nigtpkvmixo73iu5duwaugjl4fmz4pxv6wxidvad,failed,not_found,8,ACC874AD6D4D3AC308CB6C044620A159A1123196,63C81BCA835570069A7FCD48312DEA707F6CBAA2,1944F3A473CB77B12BDB4E3D15963A24DF58E4E7,85A2DB148F15110A6F709AF56EA02F36CBB39B0B,2020-06-19 12:04:39.667000,2020-06-19 12:04:40.209000
cp6p52tev2lrlk32nigtpkvmixo73iu5duwaugjl4fmz4pxv6wxidvad,failed,not_found,13,ACC874AD6D4D3AC308CB6C044620A159A1123196,ACE29EC7700BD112DEB42B934E5E443476CD577C,BF37445EA2A9F3D04F4B87DFAC624AEF21B559D5,2DF58694C18525A4892F514D01039BCF44A05433,2020-06-19 12:04:40.211000,2020-06-19 12:04:43.360000
cp6p52tev2lrlk32nigtpkvmixo73iu5duwaugjl4fmz4pxv6wxidvad,failed,not_found,73,ACC874AD6D4D3AC308CB6C044620A159A1123196,8D0697D62E9970901B4EC64D511DDF399CD19DB9,42B4F52C5B11E4D39855F654955425B0D5A0598B,79DFB0E1D79D1306AF03A4B094C55A576989ABD1,2020-06-19 12:04:43.361000,2020-06-19 12:04:44.386000
cp6p52tev2lrlk32nigtpkvmixo73iu5duwaugjl4fmz4pxv6wxidvad,failed,not_found,98,ACC874AD6D4D3AC308CB6C044620A159A1123196,461D6EA15966C7F99B43D37ADC116B5B8E47D130,FD449127D30D8F5D124653D9EF736EDF4A12B4DC,1AE949967F82BBE7534A3D6BA77A7EBE1CED4369,2020-06-19 12:04:44.387000,2020-06-19 12:04:44.984000
cp6p52tev2lrlk32nigtpkvmixo73iu5duwaugjl4fmz4pxv6wxidvad,failed,not_found,119,ACC874AD6D4D3AC308CB6C044620A159A1123196,9B2BC7EFD661072AFADC533BE8DCF1C19D8C2DCC,8465EBE0155D4907C41FB0B76216C7F67FDB529B,7452E7D19ACD2C39DE10C0207032E6BC05DB78F2,2020-06-19 12:04:44.984000,2020-06-19 12:04:45.619000
cp6p52tev2lrlk32nigtpkvmixo73iu5duwaugjl4fmz4pxv6wxidvad,failed,not_found,139,ACC874AD6D4D3AC308CB6C044620A159A1123196,00B57BF614F7ED3051073B5D4526FF0B23AF217B,9F688C46E0046AD2C026C18D9343252279E42535,63D986BA6665CEC6A2CD95FAE681AE8C7CA12B9C,2020-06-19 12:04:45.619000,2020-06-19 12:04:47.295000
3ulbz4vf6hlawrurc7k52x5sgiiuozf6erg7ijgyvjvqwmkhy4fodpyd,failed,not_found,9,ACC874AD6D4D3AC308CB6C044620A159A1123196,3FE1AA163445DC0E0677B5227F507907C4872A30,C7106F0C6A7CF0F592CBAFF7C79BD81153B1B5F5,3760F67140B6662BFB38B9245C2B510455B88E45,2020-06-19 12:04:39.825000,2020-06-19 12:04:40.464000
3ulbz4vf6hlawrurc7k52x5sgiiuozf6erg7ijgyvjvqwmkhy4fodpyd,failed,not_found,17,ACC874AD6D4D3AC308CB6C044620A159A1123196,8737307DE84C2621E6399E99123967A9590297F2,CE47F0356D86CF0A1A2008D97623216D560FB0A8,210001EE8A8E086983A3BD48F0D936996451C9CB,2020-06-19 12:04:40.465000,2020-06-19 12:04:41.801000
3ulbz4vf6hlawrurc7k52x5sgiiuozf6erg7ijgyvjvqwmkhy4fodpyd,failed,not_found,41,ACC874AD6D4D3AC308CB6C044620A159A1123196,790FABD5184E98F89908404233364C940A4881EC,EFA2E7B073AA4CE2DAF7160F23C90DB805948F4A,65A049BF1E50D96A42491FBC1AF977704C6FFFA9,2020-06-19 12:04:41.801000,2020-06-19 12:04:42.408000
3ulbz4vf6hlawrurc7k52x5sgiiuozf6erg7ijgyvjvqwmkhy4fodpyd,failed,not_found,47,ACC874AD6D4D3AC308CB6C044620A159A1123196,4D52A12D9AD22A7E1BE5B564953A7CA9C31DA675,F8DE8132E599A194E20DDB738AF64A7200CD5949,CDDEC3CC4B0FD5054C99B2D2843DE8B609A4CABA,2020-06-19 12:04:42.408000,2020-06-19 12:04:42.949000
3ulbz4vf6hlawrurc7k52x5sgiiuozf6erg7ijgyvjvqwmkhy4fodpyd,failed,not_found,62,ACC874AD6D4D3AC308CB6C044620A159A1123196,A400CF836DA351ADDAD9BA350C1ABA350264A4E0,890530C5B510A506F5CF206EFEC1595F96E727A5,507C28C65EBB3D19EF31F1380370779E11985D06,2020-06-19 12:04:42.949000,2020-06-19 12:04:44.206000
3ulbz4vf6hlawrurc7k52x5sgiiuozf6erg7ijgyvjvqwmkhy4fodpyd,failed,not_found,209,ACC874AD6D4D3AC308CB6C044620A159A1123196,C6E3910CBADCA6D2D7E932AB31A038EDD6A6FB79,7ECA215D5B0611D5A6131F7616C7B60003781B78,35DA04A92634AF2392CBA6AF158E00B5589A1CFA,2020-06-19 12:04:44.207000,2020-06-19 12:04:48.815000
4667t6je24f5m6na5uhhzuvuubq7oxoud65drzsk3zbcu6ntjfcpk2ad,failed,not_found,11,ACC874AD6D4D3AC308CB6C044620A159A1123196,3239007CE1FB2ECDFDF2067DF23B949295DC5EF6,502774BA0466D3AE9B7A7A0EA2259CC62B8398A9,25BB5182DE68DA6FC1BEE2C8A63454369587E95F,2020-06-19 12:04:40.026000,2020-06-19 12:04:40.391000
4667t6je24f5m6na5uhhzuvuubq7oxoud65drzsk3zbcu6ntjfcpk2ad,failed,not_found,15,ACC874AD6D4D3AC308CB6C044620A159A1123196,A4A25EDAB880FF4200F4C21316F3B9E072C9F466,E96C071A67833C2C93D74F7C84C99148E15181F8,EA1AF22E93AC7B8A00DB3197913EE5CAE11FC2F7,2020-06-19 12:04:40.391000,2020-06-19 12:04:41.022000
4667t6je24f5m6na5uhhzuvuubq7oxoud65drzsk3zbcu6ntjfcpk2ad,failed,not_found,23,ACC874AD6D4D3AC308CB6C044620A159A1123196,A96DA63E4415E776FBFCCF3DA7154C804534B6E7,E8434EC1617536BD30D16C02D08B71A7507D3F11,7A8B6F078D85AE8DE8D1BCFD8E1B6EB5896C431C,2020-06-19 12:04:41.022000,2020-06-19 12:04:41.706000
4667t6je24f5m6na5uhhzuvuubq7oxoud65drzsk3zbcu6ntjfcpk2ad,failed,not_found,35,ACC874AD6D4D3AC308CB6C044620A159A1123196,8951F00E4F1BF20EE483E30BCF3F8DE7E229A46E,F50CF02A0E6A9D9B25F7EB220FC26F7BD1B74999,C395592F1D779E6775806AFFAD66199E3972DAA2,2020-06-19 12:04:41.706000,2020-06-19 12:04:42.188000
4667t6je24f5m6na5uhhzuvuubq7oxoud65drzsk3zbcu6ntjfcpk2ad,failed,not_found,45,ACC874AD6D4D3AC308CB6C044620A159A1123196,7C86C73DB17CE20CD26537C9E3EC0FD7A55E5C6D,F30D92CA42B3D2DA88834CA8E2EAAFD528B55FF0,D628F6BB2330B3F78DBB4BED466B0A586D74782E,2020-06-19 12:04:42.189000,2020-06-19 12:04:42.802000
4667t6je24f5m6na5uhhzuvuubq7oxoud65drzsk3zbcu6ntjfcpk2ad,failed,not_found,57,ACC874AD6D4D3AC308CB6C044620A159A1123196,60CA295745930AFA59DB73F877834B4100C7B712,CF6B9B69DAC1F851D8073B2E1BB3FD7A50DB507D,0ECDF9962F0783E135AB380B3E6B291561811B70,2020-06-19 12:04:42.802000,2020-06-19 12:04:43.775000
oa7xmo2knopyci7xgdxisqwszwzd3z2oglnppimfhh6pqxdd4vjiptid,failed,not_found,12,ACC874AD6D4D3AC308CB6C044620A159A1123196,B55B11A739C43396B10CC621D9C9F9D7F3A8CDE4,D8B4C31E4DAF9CBC89EC13E3F5D968AD6CDC8BFD,50AA9FEA6A3A609686276C4CF0C2A1AFB2ECCA1B,2020-06-19 12:04:40.244000,2020-06-19 12:04:40.585000
