circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
5,general,failed,destroyed,,2020-06-19 12:26:50.498000,2020-06-19 12:26:50.502000,,,,2020-06-19 12:26:50.553000,
6,hs_client_intro,built,,,2020-06-19 12:26:50.918000,2020-06-19 12:26:50.918000,2020-06-19 12:26:51.008000,2020-06-19 12:26:51.085000,2020-06-19 12:26:51.220000,2020-06-19 12:26:51.221000,
7,general,built,,,2020-06-19 12:26:51.498000,2020-06-19 12:26:51.505000,2020-06-19 12:26:51.573000,2020-06-19 12:26:51.690000,,2020-06-19 12:26:51.690000,
8,hs_client_hsdir,built,,54F0D1BA3FA0A117F54394355D4F8B45DF9A076A,2020-06-19 12:26:51.737000,2020-06-19 12:26:51.750000,2020-06-19 12:26:51.780000,2020-06-19 12:26:51.945000,2020-06-19 12:26:52.041000,2020-06-19 12:26:52.042000,
9,hs_client_hsdir,built,,54DE63F4587058B79152A75A0238D7F7A0279215,2020-06-19 12:26:52.231000,2020-06-19 12:26:52.234000,2020-06-19 12:26:52.274000,2020-06-19 12:26:52.340000,2020-06-19 12:26:52.448000,2020-06-19 12:26:52.449000,
10,hs_client_hsdir,built,,A4A30EADEFBA4921AB246954E051F45EF85B459D,2020-06-19 12:26:52.495000,2020-06-19 12:26:52.507000,2020-06-19 12:26:52.546000,2020-06-19 12:26:52.619000,2020-06-19 12:26:52.896000,2020-06-19 12:26:52.620000,2020-06-19 12:26:52.896000
11,hs_client_hsdir,built,,54F5D800DD9783FCF2200E80EF3D1A867A3F6D6B,2020-06-19 12:26:52.608000,2020-06-19 12:26:52.609000,2020-06-19 12:26:52.662000,2020-06-19 12:26:52.730000,2020-06-19 12:26:52.834000,2020-06-19 12:26:52.835000,
12,hs_client_hsdir,built,,5AEAA32FE69683F8B1271E4A331F16A21BF808B7,2020-06-19 12:26:52.936000,2020-06-19 12:26:52.950000,2020-06-19 12:26:52.991000,2020-06-19 12:26:53.106000,2020-06-19 12:26:53.276000,2020-06-19 12:26:53.277000,
13,hs_client_hsdir,built,,A4A25EDAB880FF4200F4C21316F3B9E072C9F466,2020-06-19 12:26:53.295000,2020-06-19 12:26:53.302000,2020-06-19 12:26:53.358000,2020-06-19 12:26:53.452000,2020-06-19 12:26:54.020000,2020-06-19 12:26:54.020000,
14,hs_client_hsdir,built,,5B23885B98440FAE58CCAA85BC28FDDBCAE578E3,2020-06-19 12:26:53.451000,2020-06-19 12:26:53.463000,2020-06-19 12:26:53.517000,2020-06-19 12:26:53.652000,2020-06-19 12:26:53.803000,2020-06-19 12:26:53.804000,
15,hs_client_hsdir,built,,0C6CA58153400FA077EABB14773E36FD61BF0D75,2020-06-19 12:26:53.505000,2020-06-19 12:26:53.528000,2020-06-19 12:26:53.572000,2020-06-19 12:26:53.663000,2020-06-19 12:26:53.833000,2020-06-19 12:26:53.664000,2020-06-19 12:26:53.834000
16,hs_client_hsdir,built,,5B1F0DAF378A1FAFCFD5FA9CDC66D1023DC0276E,2020-06-19 12:26:53.953000,2020-06-19 12:26:53.966000,2020-06-19 12:26:54.019000,2020-06-19 12:26:54.112000,2020-06-19 12:26:54.217000,2020-06-19 12:26:54.217000,
17,hs_client_hsdir,built,,0C6D3655763B1A3A60FC42135CD60765AFE953BA,2020-06-19 12:26:53.959000,2020-06-19 12:26:53.966000,2020-06-19 12:26:54.008000,2020-06-19 12:26:54.077000,2020-06-19 12:26:54.184000,2020-06-19 12:26:54.184000,
18,hs_client_hsdir,failed,destroyed,,2020-06-19 12:26:54.236000,2020-06-19 12:26:54.269000,2020-06-19 12:26:54.324000,2020-06-19 12:26:54.441000,,2020-06-19 12:26:54.717000,
19,hs_client_hsdir,built,,0C69DA7973C4F1D26FB8E8DCCCD83BEC1269645A,2020-06-19 12:26:54.345000,2020-06-19 12:26:54.354000,2020-06-19 12:26:54.485000,2020-06-19 12:26:54.736000,2020-06-19 12:26:55.174000,2020-06-19 12:26:55.174000,
20,hs_client_hsdir,built,,A4A393FEF48640961AACE92D041934B55348CEF9,2020-06-19 12:26:54.506000,2020-06-19 12:26:54.518000,2020-06-19 12:26:54.575000,2020-06-19 12:26:54.674000,2020-06-19 12:26:54.969000,2020-06-19 12:26:54.674000,2020-06-19 12:26:54.970000
21,hs_client_hsdir,built,,9FB2A07867929EA404667247AEE9656F3DF72447,2020-06-19 12:26:54.736000,2020-06-19 12:26:54.747000,2020-06-19 12:26:54.792000,2020-06-19 12:26:54.858000,2020-06-19 12:26:55.589000,2020-06-19 12:26:55.590000,
22,hs_client_hsdir,built,,FB4BC8A17AD016963AA34EB98060F475DBB2DD9D,2020-06-19 12:26:55.202000,2020-06-19 12:26:55.213000,2020-06-19 12:26:55.255000,2020-06-19 12:26:55.387000,2020-06-19 12:26:55.645000,2020-06-19 12:26:55.646000,
23,hs_client_hsdir,built,,C59E079437340E3AD14E6785C0A91A5B6F328566,2020-06-19 12:26:55.505000,2020-06-19 12:26:55.517000,2020-06-19 12:26:55.568000,2020-06-19 12:26:55.748000,2020-06-19 12:26:56.040000,2020-06-19 12:26:55.749000,2020-06-19 12:26:56.040000
24,hs_client_hsdir,built,,CE694BA8D019EE60D8E7838CC177E689CEA825EA,2020-06-19 12:26:55.747000,2020-06-19 12:26:55.752000,2020-06-19 12:26:55.842000,2020-06-19 12:26:56.193000,2020-06-19 12:26:57.573000,2020-06-19 12:26:57.574000,
