addr,status,reason,circ,guard_fp,middle_fp,exit_fp,hsdir_fp,start,end
xxvecwkjwnaj5aft,failed,not_found,,,,,3757B2D153F981687B56504C6E7C99EDE38DDBEE,2020-06-19 12:50:25.588000,2020-06-19 12:50:25.876000
xxvecwkjwnaj5aft,failed,not_found,7,ACC874AD6D4D3AC308CB6C044620A159A1123196,F38125187F5E7CED1FF31C37B0AEEA7129263F82,B8F9174489CBCF8B4ABCA7A538677954148C281D,37535409102DFFE92F3DAC809E470E62BC27F1DF,2020-06-19 12:50:25.877000,2020-06-19 12:50:26.319000
xxvecwkjwnaj5aft,failed,not_found,12,ACC874AD6D4D3AC308CB6C044620A159A1123196,F63B1759D8AB9C8D8F1E60625086082FF3A9D7D6,E8BAE7393740A700D50B010DED9D9EC9A66B390D,375AAFD4E280B95136969E191AF4D9A1FA7C4FD9,2020-06-19 12:50:26.320000,2020-06-19 12:50:28.335000
xxvecwkjwnaj5aft,failed,not_found,38,ACC874AD6D4D3AC308CB6C044620A159A1123196,A7143CD3C548EB63D98647D592A7AE3EA02B142B,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,016093EE4BAE9AF473FC0C811A9D10FDAA9CA34B,2020-06-19 12:50:28.336000,2020-06-19 12:50:28.677000
xxvecwkjwnaj5aft,failed,not_found,43,ACC874AD6D4D3AC308CB6C044620A159A1123196,1FDF4D0660A7497222C3BA24FEEA316244093CD7,1F4105C688E835A56AF3D66C787677B57240FFA2,0136696B025AC5503847D736FE9F3D65EB27A596,2020-06-19 12:50:28.678000,2020-06-19 12:50:29.340000
xxvecwkjwnaj5aft,failed,not_found,55,ACC874AD6D4D3AC308CB6C044620A159A1123196,3D9CE80399B68C01377FEC42395E399B9ED16E18,C013F6A7A2297FA4CD00D05EF4A1C5222B844B25,01384A5D9C6D34352701BF86D04E5F406CB256AE,2020-06-19 12:50:29.342000,2020-06-19 12:50:29.772000
cflares35lvdlczhy3r6qbza5jjxbcplzvdveabhf7bsp7y4nzmn67yd,received,,,,,,431EA69FC4089BE4304AAEC38FEAE8BC8F8711C5,2020-06-19 12:50:25.712000,2020-06-19 12:50:26.051000
yldesjjdwzy2uu5m,failed,not_found,6,ACC874AD6D4D3AC308CB6C044620A159A1123196,0085057C17BD2E1809E284825F06F94E72FB418C,BD4C647508162F59CB44E4DFC1C2B2B8A9387CCA,A6277ACC55DB0A488F615B9672427E0DD1B4F87C,2020-06-19 12:50:25.862000,2020-06-19 12:50:26.416000
yldesjjdwzy2uu5m,failed,not_found,10,ACC874AD6D4D3AC308CB6C044620A159A1123196,14E72D4DA10B66353E583F26EE04AC0D563EA7EF,BA27D43AC00F014945DC32D036056F13FE1D5243,B8F7B162963287D2199D075BBAB2C4FB941BB390,2020-06-19 12:50:26.417000,2020-06-19 12:50:27.113000
yldesjjdwzy2uu5m,failed,not_found,20,ACC874AD6D4D3AC308CB6C044620A159A1123196,50C7B836942F14BDF1541B017CF21FD03F354E13,87D73471FDC64BD9CEDF84435D20CA4EB5C36FE8,B8F6E68B36BEE2BF548750BDCCC3C2A7DB56A623,2020-06-19 12:50:27.114000,2020-06-19 12:50:27.511000
