circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
6,hs_client_intro,built,,,2020-06-19 14:19:13.700000,2020-06-19 14:19:13.700000,2020-06-19 14:19:13.700000,2020-06-19 14:19:13.763000,2020-06-19 14:19:13.901000,2020-06-19 14:19:13.901000,
7,hs_client_hsdir,built,,331C499F36FD792AA78852D9163498F4E2B7929C,2020-06-19 14:19:13.743000,2020-06-19 14:19:13.751000,2020-06-19 14:19:13.790000,2020-06-19 14:19:13.966000,2020-06-19 14:19:14.085000,2020-06-19 14:19:14.085000,
8,hs_client_hsdir,built,,8C94FAB733C8F1E6C1828946DB77699DD9AC63D7,2020-06-19 14:19:13.751000,2020-06-19 14:19:13.763000,2020-06-19 14:19:13.821000,2020-06-19 14:19:13.901000,2020-06-19 14:19:14.014000,2020-06-19 14:19:14.014000,
9,hs_client_hsdir,built,,21B55072C00F4522857655FBB0F3E25D75A5357B,2020-06-19 14:19:13.901000,2020-06-19 14:19:13.908000,2020-06-19 14:19:13.944000,2020-06-19 14:19:14.003000,2020-06-19 14:19:14.113000,2020-06-19 14:19:14.113000,
10,hs_client_hsdir,built,,CF2908C347199F06C921E8799391A3FF4CAAEB36,2020-06-19 14:19:13.934000,2020-06-19 14:19:13.944000,2020-06-19 14:19:14.054000,2020-06-19 14:19:14.146000,2020-06-19 14:19:14.295000,2020-06-19 14:19:14.295000,
11,hs_client_hsdir,built,,3C89C80E2699FB6358BBB64FDC9547AFCB5C03F7,2020-06-19 14:19:14.051000,2020-06-19 14:19:14.065000,2020-06-19 14:19:14.123000,2020-06-19 14:19:14.216000,2020-06-19 14:19:14.348000,2020-06-19 14:19:14.348000,
12,hs_client_hsdir,built,,447A24F3402C4774D89E7AAD2D876D0BF64E3267,2020-06-19 14:19:14.095000,2020-06-19 14:19:14.104000,2020-06-19 14:19:14.177000,2020-06-19 14:19:16.521000,2020-06-19 14:19:16.868000,2020-06-19 14:19:16.521000,2020-06-19 14:19:16.868000
13,hs_client_hsdir,built,,FAA935B0BC3B4348CCBD3EBA95681AB51730977D,2020-06-19 14:19:14.143000,2020-06-19 14:19:14.166000,2020-06-19 14:19:14.215000,2020-06-19 14:19:14.295000,2020-06-19 14:19:14.402000,2020-06-19 14:19:14.402000,
14,measure_timeout,built,timeout,,2020-06-19 14:19:14.153000,2020-06-19 14:19:14.177000,2020-06-19 14:19:14.235000,2020-06-19 14:19:18.885000,2020-06-19 14:19:19.289000,2020-06-19 14:19:18.115000,2020-06-19 14:19:19.290000
15,hs_client_hsdir,built,,D46F368FDCFB9363A2A9B8279FFC2331B540BD0E,2020-06-19 14:19:14.233000,2020-06-19 14:19:14.244000,2020-06-19 14:19:14.294000,2020-06-19 14:19:14.433000,2020-06-19 14:19:15.250000,2020-06-19 14:19:15.250000,
16,hs_client_hsdir,built,,3847862C0A4926ACCB9B5ADCD6F62B6278D88812,2020-06-19 14:19:14.256000,2020-06-19 14:19:14.293000,2020-06-19 14:19:14.348000,2020-06-19 14:19:14.424000,2020-06-19 14:19:14.542000,2020-06-19 14:19:14.542000,
17,hs_client_hsdir,built,,E767C3B8295AD79B02E80A21345C9F2B3C2AD7DB,2020-06-19 14:19:14.265000,2020-06-19 14:19:14.305000,2020-06-19 14:19:14.392000,2020-06-19 14:19:14.507000,2020-06-19 14:19:14.690000,2020-06-19 14:19:14.690000,
18,hs_client_hsdir,built,,1099983E2C5C3ECDAD0B7D5AABD2AC6BF2CBBF70,2020-06-19 14:19:14.383000,2020-06-19 14:19:14.401000,2020-06-19 14:19:14.583000,2020-06-19 14:19:14.926000,2020-06-19 14:19:15.307000,2020-06-19 14:19:15.307000,
19,hs_client_hsdir,built,,43AF24071B400911629D5BC9FC20DE335F9DFC00,2020-06-19 14:19:14.447000,2020-06-19 14:19:14.483000,2020-06-19 14:19:14.553000,2020-06-19 14:19:14.734000,2020-06-19 14:19:15.030000,2020-06-19 14:19:15.030000,
20,hs_client_hsdir,built,,D46F368FDCFB9363A2A9B8279FFC2331B540BD0E,2020-06-19 14:19:14.476000,2020-06-19 14:19:14.493000,2020-06-19 14:19:14.543000,2020-06-19 14:19:14.627000,2020-06-19 14:19:14.887000,2020-06-19 14:19:14.888000,
