addr,status,reason,circ,guard_fp,middle_fp,exit_fp,hsdir_fp,start,end
cflareub6dtu7nvs3kqmoigcjdwap2azrkx5zohb2yk7gqjkwoyotwqd,received,,,,,,567E9785458C605E59202755C74898E3C96FB1CC,2020-06-19 14:40:00.304000,2020-06-19 14:40:01.091000
iwxuy6quscilenfa,failed,not_found,,,,,D377B74F6003163146A6B33AABC60500C198C08D,2020-06-19 14:40:00.780000,2020-06-19 14:40:01.137000
iwxuy6quscilenfa,failed,not_found,8,ACC874AD6D4D3AC308CB6C044620A159A1123196,3BADB3EFFB87534736BFAC9A2024AB78401BDBC3,5B701D5C806F91D8A3C6B3E92624727EC43E26C2,D39328D2EAE3816F9C5D5D1BB19D1C14E2E79482,2020-06-19 14:40:01.137000,2020-06-19 14:40:01.593000
iwxuy6quscilenfa,failed,not_found,11,ACC874AD6D4D3AC308CB6C044620A159A1123196,E8466E02C893B9A6602A251CCEA100F252E25B4B,CC33FBAF8FC92A8EC28913F7C9B1B092BB2C9897,D35682AB6E29D91AA030E03A9BEB42700D96A1EF,2020-06-19 14:40:01.593000,2020-06-19 14:40:02.584000
iwxuy6quscilenfa,failed,not_found,19,ACC874AD6D4D3AC308CB6C044620A159A1123196,021047C51A57254D263DDB8B9277CA1C286D600E,7AEF8E402C5C6EBE4C93E56D74781E8F033BAB98,F641F043D50CEFA07EE41EB284466458788808ED,2020-06-19 14:40:02.585000,2020-06-19 14:40:03.392000
iwxuy6quscilenfa,failed,not_found,31,ACC874AD6D4D3AC308CB6C044620A159A1123196,42EFF3531952A7AF86F67B6749F0D8C7E5EB2B70,FB691D6E3FEE35C6979EE72AF03A53DD861B4CBB,F663CA227B7D2B3C8556F7DDBFC6653A010A2C4F,2020-06-19 14:40:03.393000,2020-06-19 14:40:03.835000
iwxuy6quscilenfa,failed,not_found,38,ACC874AD6D4D3AC308CB6C044620A159A1123196,AE95BDA37A5BB4685FEBB7F06649D6CE949B5316,D65DB84BF1EB4DD225B9A1CD9CEFD87B595A30F5,F604131DCC4303E51DB876A017A3DC9684FD626B,2020-06-19 14:40:03.836000,2020-06-19 14:40:04.303000
dmvlr676m4o2ohqb,failed,not_found,9,ACC874AD6D4D3AC308CB6C044620A159A1123196,02928855BFAD787F8B363F21860D1E7D156E0655,3F5689B1ED8217540F0F6C46390AA18370765827,5B34FC319881938C6DDFC6DB5ADCFB53819B7595,2020-06-19 14:40:01.138000,2020-06-19 14:40:01.686000
dmvlr676m4o2ohqb,failed,not_found,12,ACC874AD6D4D3AC308CB6C044620A159A1123196,BD6FFF1AD5A88A8D43870D43EC4450081B4B2BBA,963879BB424D9A637A63105D5C26A2453C2C2272,FE1B74C7CEE0493613929A92F9A1D890E58DC649,2020-06-19 14:40:01.688000,2020-06-19 14:40:02.071000
dmvlr676m4o2ohqb,failed,not_found,14,ACC874AD6D4D3AC308CB6C044620A159A1123196,4BC874C290A1438E9FF3C684F1CAC2AC351A12EB,43AB342D2356753CB06BEB28ACF1A0F61FBDF7ED,FE1AF5E909002134BFF834F4AD5E1DE723779002,2020-06-19 14:40:02.072000,2020-06-19 14:40:02.599000
dmvlr676m4o2ohqb,failed,not_found,20,ACC874AD6D4D3AC308CB6C044620A159A1123196,3BB34C63072D9D10E836EE42968713F7B9325F66,2FC9C98197456811E1B81C88848C722AF250582C,5B87B39C84B808D3A6F6FC934899C1180A8577F6,2020-06-19 14:40:02.600000,2020-06-19 14:40:03.525000
dmvlr676m4o2ohqb,failed,not_found,33,ACC874AD6D4D3AC308CB6C044620A159A1123196,AECBAD3537B7E5D2BF2967B627D23E36283B3D2A,F00C8B7589FEE52BE84387CDB422C1F1386979C0,5B701D5C806F91D8A3C6B3E92624727EC43E26C2,2020-06-19 14:40:03.526000,2020-06-19 14:40:04.151000
dmvlr676m4o2ohqb,failed,not_found,41,ACC874AD6D4D3AC308CB6C044620A159A1123196,CDAF0B74C45FD5B1955198A8D92C8A518A53D07B,D317C7889162E9EC4A1DA1A1095C2A0F377536D9,FE268E95288EE3EF58DA606DAB12AB216CF64B68,2020-06-19 14:40:04.151000,2020-06-19 14:40:05.658000
