circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
6,hs_client_hsdir,built,,B7D773E2196DB5B4129D3C050C063DB0F8DF91A5,2020-06-19 15:09:10.628000,2020-06-19 15:09:10.638000,2020-06-19 15:09:10.691000,2020-06-19 15:09:10.844000,2020-06-19 15:09:10.956000,2020-06-19 15:09:10.957000,
7,hs_client_rend,built,,,2020-06-19 15:09:10.740000,2020-06-19 15:09:10.751000,2020-06-19 15:09:10.786000,2020-06-19 15:09:10.891000,,2020-06-19 15:09:10.891000,
8,hs_client_intro,built,,,2020-06-19 15:09:10.740000,2020-06-19 15:09:10.752000,2020-06-19 15:09:11.124000,2020-06-19 15:09:11.320000,2020-06-19 15:09:11.630000,2020-06-19 15:09:11.631000,
9,hs_client_hsdir,built,,C3E0E9EA1FF3FCFC27E856BFE61533020DD7F090,2020-06-19 15:09:10.751000,2020-06-19 15:09:10.763000,2020-06-19 15:09:10.815000,2020-06-19 15:09:10.900000,2020-06-19 15:09:11.070000,2020-06-19 15:09:11.070000,
10,hs_client_hsdir,built,,5293A831F0EF51460B37B37C239BC975C077E920,2020-06-19 15:09:10.883000,2020-06-19 15:09:10.899000,2020-06-19 15:09:10.935000,2020-06-19 15:09:11.039000,2020-06-19 15:09:11.209000,2020-06-19 15:09:11.210000,
11,hs_client_hsdir,built,,A1EC0D0861AF76DF5AADDC17AD18DDC8F4281FE2,2020-06-19 15:09:10.890000,2020-06-19 15:09:10.910000,2020-06-19 15:09:11.006000,2020-06-19 15:09:11.199000,2020-06-19 15:09:11.533000,2020-06-19 15:09:11.200000,2020-06-19 15:09:11.533000
12,hs_client_hsdir,built,,F3F55715BE0B6DF38FB6A80326433A440A4B0BFE,2020-06-19 15:09:11.006000,2020-06-19 15:09:11.037000,2020-06-19 15:09:11.070000,2020-06-19 15:09:11.201000,2020-06-19 15:09:12.036000,2020-06-19 15:09:12.036000,
13,hs_client_hsdir,built,,6A1394D65F9300B2226294845B7EAC2448ED79B1,2020-06-19 15:09:11.025000,2020-06-19 15:09:11.048000,2020-06-19 15:09:11.123000,2020-06-19 15:09:11.243000,2020-06-19 15:09:11.754000,2020-06-19 15:09:11.755000,
14,hs_client_hsdir,built,,AB73816E5D7BC52664CBB9D005FF579BAFEAFE87,2020-06-19 15:09:11.123000,2020-06-19 15:09:11.133000,2020-06-19 15:09:11.328000,2020-06-19 15:09:13.035000,2020-06-19 15:09:13.581000,2020-06-19 15:09:13.581000,
15,hs_client_hsdir,built,,F604131DCC4303E51DB876A017A3DC9684FD626B,2020-06-19 15:09:11.161000,2020-06-19 15:09:11.176000,2020-06-19 15:09:11.219000,2020-06-19 15:09:11.383000,2020-06-19 15:09:11.650000,2020-06-19 15:09:11.651000,
16,hs_client_hsdir,built,,E8FA2C9B690F3BC16ADE9A4803CE2C51132F10A6,2020-06-19 15:09:11.272000,2020-06-19 15:09:11.319000,2020-06-19 15:09:11.360000,2020-06-19 15:09:11.440000,2020-06-19 15:09:11.748000,2020-06-19 15:09:11.749000,
17,hs_client_hsdir,built,,D0354E2C21D9C7D2882262FF2DAF35618ED58DBB,2020-06-19 15:09:11.401000,2020-06-19 15:09:11.426000,2020-06-19 15:09:11.461000,2020-06-19 15:09:11.532000,2020-06-19 15:09:11.652000,2020-06-19 15:09:11.652000,
18,hs_client_hsdir,built,,661E08534FABDBE09BA505F7A73848371C6EF732,2020-06-19 15:09:11.414000,2020-06-19 15:09:11.427000,2020-06-19 15:09:11.803000,2020-06-19 15:09:11.888000,2020-06-19 15:09:12.097000,2020-06-19 15:09:12.098000,
19,hs_client_hsdir,built,,0485027A0A349D454D978F6C1CECDD29EA17769A,2020-06-19 15:09:11.594000,2020-06-19 15:09:11.598000,2020-06-19 15:09:11.749000,2020-06-19 15:09:12.038000,2020-06-19 15:09:12.331000,2020-06-19 15:09:12.332000,
20,hs_client_hsdir,failed,timeout,,2020-06-19 15:09:11.747000,2020-06-19 15:09:11.754000,,,,2020-06-19 15:09:15.897000,
21,hs_client_hsdir,built,,87867672D70CFDAA7A2254326861B76C632C9269,2020-06-19 15:09:11.781000,2020-06-19 15:09:11.789000,2020-06-19 15:09:11.841000,2020-06-19 15:09:11.934000,2020-06-19 15:09:13.109000,2020-06-19 15:09:13.109000,
22,hs_client_hsdir,built,,326AA9C169C23E1AADD86AC762E8B0F148854B3F,2020-06-19 15:09:11.811000,2020-06-19 15:09:11.819000,2020-06-19 15:09:11.933000,2020-06-19 15:09:12.038000,2020-06-19 15:09:12.248000,2020-06-19 15:09:12.248000,
23,measure_timeout,built,timeout,,2020-06-19 15:09:11.877000,2020-06-19 15:09:11.890000,2020-06-19 15:09:11.952000,2020-06-19 15:09:12.771000,2020-06-19 15:09:24.867000,2020-06-19 15:09:15.898000,2020-06-19 15:09:24.867000
