nickname,fingerprint,or_address_v4,dir_address,country,advertised_bandwidth,guard_probability
Unnamed,7A3E534C033E3836BD5AF223B642853C502AB33A,5.39.69.166:9001,5.39.69.166:9030,fr,93079867,0.003765013
quadhead,BF0FB582E37F738CD33C3651125F2772705BB8E8,148.251.190.229:9010,148.251.190.229:9030,de,85797761,0.0029283436
setsun,2AA5F598F9A1812F01CD99E3B59BB87362ED7438,144.76.200.80:9001,none,de,74478512,0.0025100086
idideditheconfig,4B351545DD58473F36B0A20E5500AC6ED51E8CD5,90.145.175.245:9001,90.145.175.245:9030,nl,66456274,0.0023008413
TheEpTicZeus,77A56CB237740E24AEA2D61C8C8936232AFC1BD8,54.36.227.247:443,54.36.227.247:80,fr,67166530,0.0023008413
normaray,CD39C258265B25EAA4ABA4FDCB2DF98104CAA362,94.130.200.167:443,94.130.200.167:80,de,65314569,0.002091674
jaredfucks,E3D61BAEA0B7CB12CACEDC8821C520557BDFCEA3,144.76.107.94:8080,144.76.107.94:8000,de,70349697,0.002091674
flo,F8DE8132E599A194E20DDB738AF64A7200CD5949,144.76.196.92:9001,144.76.196.92:9090,de,83692032,0.002070757
torbackupbacon,ACA0B8702A6A0B890217A3D26B7220EB6E1CFFD1,88.198.91.242:9001,88.198.91.242:9030,de,49628838,0.0019640818
8P,461453F94FA0E3CBB011685E22CDAFD2AF0DFDC3,45.129.181.186:9001,45.129.181.186:9030,de,55111401,0.0019327067
LadyTremaine,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,212.51.141.92:9001,212.51.141.92:9030,ch,47494735,0.001930615
isthisthereallife,A3AFBDEE30238E44899C9F8B7666D12B09C8EE32,212.51.153.35:9001,212.51.153.35:9030,ch,56787221,0.0018804149
Xavier,44BD70C13DAA7513D6F47773804178B009F21ED5,176.9.148.20:9993,176.9.148.20:4443,de,52251747,0.0017716478
wildy,6245DC873D6F613C795D48663D65BD8A2266CAF6,92.222.103.195:9001,92.222.103.195:9030,fr,41943040,0.001757006
fujiwara,43FF3346A3F8E4ED27F631DC956C4CD8D6173D7A,195.154.107.12:9001,none,fr,52847519,0.0017486394
Deepsky,09A70E396DE93F54D4541BBB0EC8E2B23761F34F,77.68.88.20:443,77.68.88.20:9030,gb,51661176,0.0017151727
besttorrelay,724E86E7F5DA715529DC0ECAA013AE4BDC680E4C,5.9.29.183:9002,5.9.29.183:4080,de,52154718,0.0016984392
chocolaterain,40CDE936B04B4573A47223396006443CA5EAC845,176.9.53.202:8000,176.9.53.202:9090,de,51764674,0.0016733392
cookie,8BE79CE3261C027CE94F84D6CBE45F03BE9B8B59,5.9.37.214:4443,5.9.37.214:8443,de,56064753,0.0016566057
zwiebeltoralf2,509EAB4C5D10C9A9A24B4EA0CE402C047A2D64E6,5.9.158.75:9001,5.9.158.75:9030,de,44994190,0.0016210473
luraleen,EE010EF80A27AC0B02CDC2B8B214A6201BB02D2B,144.76.175.205:443,144.76.175.205:80,de,59788412,0.0016001306
FreedomFries2,1C0736CF3744A3B87C2D2269B8BD3388C7E60552,94.130.246.106:9001,94.130.246.106:9030,de,55714091,0.001526922
TORro,0B555940D37DC849728841C0B290074E1A1BDCA8,188.138.75.101:443,188.138.75.101:80,de,46534313,0.0015060052
torcatgirlcloud,FC1E441E097BA36930AA2F615EFB325AF76D2595,78.47.155.100:9001,78.47.155.100:9030,de,44157472,0.0014014215
FroggiePeppie,C239952D0C8E4EABC3E6B0A8E0B623689174E3C6,94.23.195.99:9090,94.23.195.99:4443,fr,36189681,0.0014014215
ThereIsNoCowLvl,5F58E9417DF94A66529864FA1134635614958A44,176.9.118.73:9993,176.9.118.73:8000,de,53470307,0.0013888715
lightblue,8E7ACAD878BBD61097C0E0D557160F5D59BCE5CA,178.254.45.64:443,none,de,31764142,0.0013386713
TOR2DFN01b,2F09BD6D9A2D5A7D6D26C17651CE8ECF0B7BA257,217.182.198.95:443,217.182.198.95:80,de,35437922,0.0013177546
HereAreDragons,1BB9F857B41ABFB3BE0570F8A86DDCFD198713A2,159.69.109.234:9001,none,de,30463647,0.0011859791
BeastieJoy62,A2E6BB5C391CD46B38C55B4329C35304540771F1,79.133.36.68:443,79.133.36.68:993,de,27648000,0.0011315956
1blupowered2,CA4E9DFE87DE87E502F3B503D07EC8EFCAEE2549,178.254.23.142:9001,178.254.23.142:9030,de,40096657,0.001129504
jonasBebe2,11ABDB4D0B944F186A898560CB82C70439957DCA,178.63.18.223:9001,178.63.18.223:9030,de,30720000,0.0010897621
SNTor,D08660B6D70B6249A57D89BB7A8F2EA2C952BD35,130.89.149.57:9001,130.89.149.57:9030,nl,36313276,0.0010876704
Unnamed,E1DE607E31C2C0FB6F8FC959BF7B58CE35D95990,88.198.150.87:443,88.198.150.87:8443,de,29730556,0.001052112
ifigenia,F6CD4DBF5850AC4386DD9A424918AD3C6BA2716F,5.9.98.43:443,5.9.98.43:80,de,39905622,0.0010291035
fluxe4,EBE718E1A49EE229071702964F8DB1F318075FF8,131.188.40.188:11180,131.188.40.188:1443,de,34861706,0.0010249203
Kimchi,D0273C8566CC9AECE4C762376C9B066FE0F1DADD,54.36.120.156:443,54.36.120.156:80,fr,32600064,0.0009998202
Lule,FFA72BD683BC2FCF988356E6BEC1E490F313FB07,193.11.164.243:9001,193.11.164.243:9030,se,47493120,0.00096844503
Unnamed,D14EC16949648CEE84EA1664445029EA4B597074,116.203.78.210:443,116.203.78.210:8443,de,33612427,0.00094125327
niij02,0B85617241252517E8ECF2CFC7F4C1A32DCD153F,163.172.149.155:443,163.172.149.155:80,fr,33873920,0.00094125327
