addr,status,reason,circ,guard_fp,middle_fp,exit_fp,hsdir_fp,start,end
cflareub6dtu7nvs3kqmoigcjdwap2azrkx5zohb2yk7gqjkwoyotwqd,received,,,,,,F3F55715BE0B6DF38FB6A80326433A440A4B0BFE,2020-08-27 16:12:28.518000,2020-08-27 16:12:29.709000
45atqd3aheyf2olhizys4cvhitejoklbivct2ffxpvnznwmkmedq6oad,failed,not_found,6,A2E6BB5C391CD46B38C55B4329C35304540771F1,4055CDDFF7B3F9E6A50447609A3014753A82EB26,42D47C736518BFA495CA31AEE40AE468F0BDA2A6,4661DE96D3F8E923994B05218F23760C8D7935A4,2020-08-27 16:12:29.218000,2020-08-27 16:12:29.907000
45atqd3aheyf2olhizys4cvhitejoklbivct2ffxpvnznwmkmedq6oad,failed,not_found,15,A2E6BB5C391CD46B38C55B4329C35304540771F1,B923D15EDF4E7B1261876860D51FAB907ED18347,6B7ABD237CF25E5F787F365AF5FC4C86F0213A9F,FA32998AF5628483D8E7B7BB0A4641D33A206A28,2020-08-27 16:12:29.908000,2020-08-27 16:12:30.594000
45atqd3aheyf2olhizys4cvhitejoklbivct2ffxpvnznwmkmedq6oad,failed,not_found,24,A2E6BB5C391CD46B38C55B4329C35304540771F1,0ED0EA324C931CF41CB5272BFB1D015B3D5772A9,AEF6C1FBA0FC16F4931638BF065085B974D3E90F,A98ADD972045D3CCAEE65C788C3F175BAEA3E324,2020-08-27 16:12:30.595000,2020-08-27 16:12:31.144000
45atqd3aheyf2olhizys4cvhitejoklbivct2ffxpvnznwmkmedq6oad,failed,not_found,31,A2E6BB5C391CD46B38C55B4329C35304540771F1,277F5717A62B3A728C98B3168E484BC08B4997E3,6940247E04C839D268543E7F62566A91E40567E3,4495DEA0FE1200E8675065F0DA58E21C93A616CA,2020-08-27 16:12:31.145000,2020-08-27 16:12:31.861000
45atqd3aheyf2olhizys4cvhitejoklbivct2ffxpvnznwmkmedq6oad,failed,not_found,43,A2E6BB5C391CD46B38C55B4329C35304540771F1,3E686A78B1B2F815FDECA4FF07674745A68E2CD3,DAEEC0CDD214EDAB2C1D2186B202DC79ECCB1655,C91102131E6B9CECFC56C4A29ADA4E638D7872F7,2020-08-27 16:12:31.862000,2020-08-27 16:12:34.717000
45atqd3aheyf2olhizys4cvhitejoklbivct2ffxpvnznwmkmedq6oad,failed,not_found,111,A2E6BB5C391CD46B38C55B4329C35304540771F1,A9AE20A287B215EE049C00373C952F43F080BCC9,B6E40167BE842F279B11B2A0F594718387AA75E5,56927E61B51E6F363FB55498150A6DDFCF7077F2,2020-08-27 16:12:34.717000,2020-08-27 16:12:36.123000
qaxsvqiqxym7w5xrnx6fz6zx7vgcmb6duhcopyif4joi63c23smzjxyd,failed,not_found,7,A2E6BB5C391CD46B38C55B4329C35304540771F1,CCAA620D5CAB34CE95FE3C863D9E6520C07451D8,81F59E8936D0B2105182E4B8200AC07D9274961F,CFDF99EE1923D870329F8DAE54398FD45409F01F,2020-08-27 16:12:29.224000,2020-08-27 16:12:30.014000
qaxsvqiqxym7w5xrnx6fz6zx7vgcmb6duhcopyif4joi63c23smzjxyd,failed,not_found,18,A2E6BB5C391CD46B38C55B4329C35304540771F1,63540827C4832D214984EA47B7A68C593F9F862F,3BAACE149DB31574B327BF835B594B707D12CD58,CB19AC6FFAC13B4C1A143B423884EDEA4381ED2F,2020-08-27 16:12:30.015000,2020-08-27 16:12:31.001000
qaxsvqiqxym7w5xrnx6fz6zx7vgcmb6duhcopyif4joi63c23smzjxyd,failed,not_found,28,A2E6BB5C391CD46B38C55B4329C35304540771F1,BA856D21B1A22CAE677A712DA4C9F0852D799DF8,A9406A006D6E7B5DA30F2C6D4E42A338B5E340B2,FF87E49EF33078B04A5DE26AAE170DDF8BAE139F,2020-08-27 16:12:31.002000,2020-08-27 16:12:31.760000
qaxsvqiqxym7w5xrnx6fz6zx7vgcmb6duhcopyif4joi63c23smzjxyd,failed,not_found,41,A2E6BB5C391CD46B38C55B4329C35304540771F1,1FC89C159EA0F96D52D8A7092BF938C509DB6984,D39328D2EAE3816F9C5D5D1BB19D1C14E2E79482,C5A1D5B7CB0D12A7B7334F2915134E6DA8F5C46D,2020-08-27 16:12:31.761000,2020-08-27 16:12:32.425000
qaxsvqiqxym7w5xrnx6fz6zx7vgcmb6duhcopyif4joi63c23smzjxyd,failed,not_found,59,A2E6BB5C391CD46B38C55B4329C35304540771F1,8358BDDA9C9A680B4E3A2809E5C24F5B3624D5C2,4B68D0E5392ED6F3469A37880631353A96558631,AA1C729BA8B846930D53580822A81F6C38432C00,2020-08-27 16:12:32.425000,2020-08-27 16:12:33.420000
qaxsvqiqxym7w5xrnx6fz6zx7vgcmb6duhcopyif4joi63c23smzjxyd,failed,not_found,79,A2E6BB5C391CD46B38C55B4329C35304540771F1,6A35EE13D4354FF0A03374C063B10290614BB6A9,5856DB884578915E7C7A0B7B11E4145B1D2A4E2B,28912DC1BB58E60F9F5A142B99B8EAEBBCF0F6C1,2020-08-27 16:12:33.420000,2020-08-27 16:12:33.986000
62rqwhd7dp7wkbxnpcl7mgxxn3anbd5idasjsxsnbavrt5n6gjcqgeqd,failed,not_found,12,A2E6BB5C391CD46B38C55B4329C35304540771F1,8E308CC5AD17064E56F1FA60ACACAEBADB79BF3E,D2A056E6321962BD77763FE269E26400A58278F2,0BC8BA32CC3CB0F598E0C92778F7C0946DFBCE91,2020-08-27 16:12:29.234000,2020-08-27 16:12:31.022000
62rqwhd7dp7wkbxnpcl7mgxxn3anbd5idasjsxsnbavrt5n6gjcqgeqd,failed,not_found,29,A2E6BB5C391CD46B38C55B4329C35304540771F1,8F22AFDD06AA4238ADD93A8EA6FBC2BB9C652711,D2DD10BD28A3640CF5ACC73C2C0A1A8D3DF002D2,376DC7CAD597D3A4CBB651999CFAD0E77DC9AE8C,2020-08-27 16:12:31.022000,2020-08-27 16:12:32.355000
62rqwhd7dp7wkbxnpcl7mgxxn3anbd5idasjsxsnbavrt5n6gjcqgeqd,failed,not_found,57,A2E6BB5C391CD46B38C55B4329C35304540771F1,F8DE8132E599A194E20DDB738AF64A7200CD5949,16F7E9E93D6CC469392AD0BA020A3F359DF98345,22658368E5AA075AEAACC19075ADC19670A77165,2020-08-27 16:12:32.356000,2020-08-27 16:12:34.049000
62rqwhd7dp7wkbxnpcl7mgxxn3anbd5idasjsxsnbavrt5n6gjcqgeqd,failed,not_found,91,A2E6BB5C391CD46B38C55B4329C35304540771F1,1DC17C4A52A458B5C8B1E79157F8665696210E10,A79F94117D73D4AFA4BCE340A3CB6E345C817594,CAC1EEB324F8CEDAE9C432E99CE8F42DDF4CB490,2020-08-27 16:12:34.049000,2020-08-27 16:12:34.711000
62rqwhd7dp7wkbxnpcl7mgxxn3anbd5idasjsxsnbavrt5n6gjcqgeqd,failed,not_found,110,A2E6BB5C391CD46B38C55B4329C35304540771F1,D210BF09162062C05E931F71BAECD93DD9102F1C,0CF8F3E6590F45D50B70F2F7DA6605ECA6CD408F,443114A8673927436BC3F8FCFE6E08B16B1D5F86,2020-08-27 16:12:34.711000,2020-08-27 16:12:35.918000
62rqwhd7dp7wkbxnpcl7mgxxn3anbd5idasjsxsnbavrt5n6gjcqgeqd,failed,not_found,140,A2E6BB5C391CD46B38C55B4329C35304540771F1,52AB8767E130C3519920C77072E72F347979AAE9,A1B28D636A56AAFFE92ADCCA937AA4BD5333BB4C,782936C16BF876F5F59A1793ADB1C5B251DB65E7,2020-08-27 16:12:35.918000,2020-08-27 16:12:36.804000
dmhqx3ljbk36ez3thq52d6pexiok7vinzgq767wbbgylvcyszgkoxxqd,failed,not_found,11,A2E6BB5C391CD46B38C55B4329C35304540771F1,29FA511E67A31A1A874AABFB2B624AD122AE4ED4,3239007CE1FB2ECDFDF2067DF23B949295DC5EF6,F47B13BFCE4EF48CDEF6C4D7C7A99208EBB972B5,2020-08-27 16:12:29.234000,2020-08-27 16:12:30.001000
dmhqx3ljbk36ez3thq52d6pexiok7vinzgq767wbbgylvcyszgkoxxqd,failed,not_found,17,A2E6BB5C391CD46B38C55B4329C35304540771F1,7674C383F7F551E065E3E95BBCFC067157546A17,63540827C4832D214984EA47B7A68C593F9F862F,453A763984BCF3E2FBD94B3CF2AE90EA02E4A145,2020-08-27 16:12:30.001000,2020-08-27 16:12:30.508000
