addr,status,reason,circ,guard_fp,middle_fp,exit_fp,hsdir_fp,start,end
ru7v6rar6odbx7nq,failed,not_found,,,,,A452410658C4F2986381839633CDB98FBFCBCAAF,2020-09-24 01:47:17.814000,2020-09-24 01:47:19.412000
ru7v6rar6odbx7nq,failed,not_found,23,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,9B2BC7EFD661072AFADC533BE8DCF1C19D8C2DCC,A9CC6C0B5B002C6D902827584A336CB15B5C9DC7,A44062AE3484310CE728BBD7769E9CD44C09FBB0,2020-09-24 01:47:19.413000,2020-09-24 01:47:21.816000
ru7v6rar6odbx7nq,failed,not_found,47,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,D123C0F8F562804693C47D68C61786023B295E98,0C6D3655763B1A3A60FC42135CD60765AFE953BA,ECF1B53C3096AD1E75C1995F575F490B0F61AA97,2020-09-24 01:47:21.816000,2020-09-24 01:47:23.888000
ru7v6rar6odbx7nq,failed,not_found,75,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,104DC15ACFA69CF94F89E8ED0F6CDB2D298234D2,361D33C96D0F161275EE67E2C91EE10B276E778B,A466DC1C546053060940AB279F1EA967167ECACB,2020-09-24 01:47:23.889000,2020-09-24 01:47:26.070000
ru7v6rar6odbx7nq,failed,not_found,114,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,33D88F331408141F2A2CC563239E54E48F7A211B,370969A8F5BB965976FFB727F19C2246E838B394,ED0BBC5BDDEB3EEF837B7F13BD8BB6AC64D084BB,2020-09-24 01:47:26.071000,2020-09-24 01:47:30.064000
ru7v6rar6odbx7nq,failed,not_found,203,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,C5F214F7F9CCBF09324C9AA032760150243A196C,9B047A91AC809AA020A1F42E3E785DBCEBF3652F,ED325E5B2BBB2785D8DF5FC98BED9CB207A15B45,2020-09-24 01:47:30.064000,2020-09-24 01:47:34.665000
2ndpiuntdulbojxn,failed,not_found,,,,,AF1F15819AC766D6508A2B05DA989E99AB511F9F,2020-09-24 01:47:17.817000,2020-09-24 01:47:19.214000
2ndpiuntdulbojxn,failed,not_found,16,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,CE73020F2E1C7CE59EDF89EAF262A4485DB21062,58ED9C9C35E433EE58764D62892B4FFD518A3CD0,AF42BD51EEBA9329E110AA8D206FED316E1DA671,2020-09-24 01:47:19.215000,2020-09-24 01:47:21.114000
2ndpiuntdulbojxn,failed,not_found,35,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,9ECF0C8EEA5C07DE54A346EDB371B48845A3FD0F,A99B0D9E5FD5BC3C8F2D006EC91F8C7F40E09CB8,9423A72BBC8B5C6AC9DE9F57735EB2B08E4156E8,2020-09-24 01:47:21.114000,2020-09-24 01:47:23.540000
2ndpiuntdulbojxn,failed,not_found,62,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,5790B62AD6C79A1092B30993A8F0F7F23A969FD6,F3CEC87ED91E0B0B1D86BE4D7DE90F00B607ECAF,9425164E47E7B8F2AA66944FBDC38CFAFB3E0B7C,2020-09-24 01:47:23.541000,2020-09-24 01:47:25.918000
