addr,status,reason,circ,guard_fp,middle_fp,exit_fp,hsdir_fp,start,end
73bcpplyjoi4iros,failed,not_found,,,,,CB040846C647F338EE1950C6CC03267102088C50,2020-09-25 12:31:24.975000,2020-09-25 12:31:26.958000
73bcpplyjoi4iros,failed,not_found,20,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,8FD3BAF5E14EBE1124D6253D59882AFE1C2B9B8E,FC4D03403ECD90463198B9F2F81E0B37ED7AFE1D,61F24EBAEC4290FAC31CF34F0FFCDA765A2D9705,2020-09-25 12:31:26.959000,2020-09-25 12:31:29.637000
73bcpplyjoi4iros,failed,not_found,44,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,014BD09636373B78CC28BA70E36C7190E3DE236A,79E3B585803DE805CCBC00C1EF36B1E74372861D,CAF57EB30FD17389954C9F2B43026734F80E39C0,2020-09-25 12:31:29.637000,2020-09-25 12:31:32.501000
73bcpplyjoi4iros,failed,not_found,73,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,74B8B22AF950B0BE11D8A228FB09D2F5279FB757,8EE44717FA55705C12086F3ECD1F8D9C8676FD05,61FA7E7C766577D76EBABF19330993DEFA8AF3C3,2020-09-25 12:31:32.502000,2020-09-25 12:31:35.113000
73bcpplyjoi4iros,failed,not_found,108,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,0F89912E6A4C4A8ACE43C58FF8B83CA299BFF74F,8B0D8D35EC9BE90675E1D054DD7F52F555C80085,CB19AC6FFAC13B4C1A143B423884EDEA4381ED2F,2020-09-25 12:31:35.114000,2020-09-25 12:31:37.991000
73bcpplyjoi4iros,failed,not_found,164,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,277F5717A62B3A728C98B3168E484BC08B4997E3,842B1F6C4B9E41FC9059DF675C5DF5BDA9F0FC73,61F3A840F61EEFFF682C6243534ECEB09ADFE3B3,2020-09-25 12:31:37.992000,2020-09-25 12:31:42.558000
u3gtfi4s7tzku3pk,failed,not_found,,,,,16F8469B848F9DCB4590BCC5CEA5F24980BDC806,2020-09-25 12:31:24.977000,2020-09-25 12:31:26.696000
u3gtfi4s7tzku3pk,failed,not_found,19,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,2DC309671D3B1BDF8B10EBEC05F14C9BFD41D9D4,E0F638ECCE918B5455CE29D2CD9ECC9DBD8F8B21,16F7E9E93D6CC469392AD0BA020A3F359DF98345,2020-09-25 12:31:26.697000,2020-09-25 12:31:31.540000
u3gtfi4s7tzku3pk,failed,not_found,62,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,29A39144AD141242436D07901F7A8B91F7516A66,FA32998AF5628483D8E7B7BB0A4641D33A206A28,AAC6AE4A8ED164C3657D64E3EF980EEBB4BBC8A1,2020-09-25 12:31:31.541000,2020-09-25 12:31:34.165000
u3gtfi4s7tzku3pk,failed,not_found,93,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,DBD915F96E467C1BFBC17E6B03688897FA25E449,117359EDDFCF93AFEAB82AF76903B9BFD210E87F,AAFF4A997543DB0D881F4F11638485B7D471FECE,2020-09-25 12:31:34.166000,2020-09-25 12:31:37.682000
u3gtfi4s7tzku3pk,failed,not_found,159,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,B576A394DFC12B7E900D643C900484765D58C30F,FD449127D30D8F5D124653D9EF736EDF4A12B4DC,16F50F2728581FE5CA7AC31F5066DCE8653F996C,2020-09-25 12:31:37.682000,2020-09-25 12:31:41.979000
u3gtfi4s7tzku3pk,failed,not_found,240,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,F244C5F5DDE2F29CA1F88E4C9F9FACCC48BCA857,769A297017BB5E92A9A5A3D76725CA12D694AA30,AAE168C9016C395EA5C47D94AEA9606E59A9EA8F,2020-09-25 12:31:41.980000,2020-09-25 12:31:48.616000
ykt77hykfgyhpeu6,failed,not_found,,,,,B8F7B162963287D2199D075BBAB2C4FB941BB390,2020-09-25 12:31:24.979000,2020-09-25 12:31:26.546000
ykt77hykfgyhpeu6,failed,not_found,18,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,289F955FA04BD224F18DED9D4766529705FBDC48,D965855F77A59FBBC5D1224DFB9C12A992355079,5FA7596FB2BA2C889337F8B82DD7127BBB240D4D,2020-09-25 12:31:26.547000,2020-09-25 12:31:29.636000
ykt77hykfgyhpeu6,failed,not_found,43,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,310723122778237508274A36E9557B060A531BDD,2935E0F03B71BE44F6F265FEF976E810BAAD6F4E,B8F6E68B36BEE2BF548750BDCCC3C2A7DB56A623,2020-09-25 12:31:29.637000,2020-09-25 12:31:32.799000
ykt77hykfgyhpeu6,failed,not_found,80,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,3AB334331819AC0BA1A8AFE002D4321672109CAC,7A3E534C033E3836BD5AF223B642853C502AB33A,5FB17DE2E897625CDCAE99A9FA7689ADE2F4A699,2020-09-25 12:31:32.800000,2020-09-25 12:31:35.783000
ykt77hykfgyhpeu6,failed,not_found,124,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,A5EB3D3967327169EE882910D712FD9EB666499E,7355A4A20BA4C083C921464302108C121BAC7EF2,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,2020-09-25 12:31:35.784000,2020-09-25 12:31:39.667000
ykt77hykfgyhpeu6,failed,not_found,198,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,6A2F0C055A1CDE77741BA7D93D8FAE856C86F54C,431702B3A68A6015F9955DD4FD0129175B43EA0F,B8E514ADDC653D61DE1FCB67821BB0303778782F,2020-09-25 12:31:39.667000,2020-09-25 12:31:44.511000
a5cl4kyf6owgbr4l,failed,not_found,7,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,D64D25D465B9D145320E5A4A32BB45B53BFDA06F,994FB6A842C0CEE1F1C4CBA9A7604C5FF6014CFC,CA0E72B38D97D7CC687F88DAE136A60509CFB6DE,2020-09-25 12:31:25.005000,2020-09-25 12:31:28.496000
a5cl4kyf6owgbr4l,failed,not_found,31,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,9684C4D6C71131EEEF2E5C23C3EA234A684CD501,5DC40F5357EDF4809A9010828172072C95A73514,CA29603FE2143C9BF06AFE76AB5D7940194271C1,2020-09-25 12:31:28.497000,2020-09-25 12:31:36.693000
a5cl4kyf6owgbr4l,failed,not_found,121,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,980B28A19B0A66948035A3FE143E5CF613C84122,5DB9AE27A44EB7B476CC04A66C67A71C97A001E6,6E8E5CA9B6F567416ADA21E990E7746BC223B0C0,2020-09-25 12:31:36.694000,2020-09-25 12:31:39.442000
a5cl4kyf6owgbr4l,failed,not_found,206,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,2F09BD6D9A2D5A7D6D26C17651CE8ECF0B7BA257,5E4D1E6D31413DCCC148A8050224578CBBF12883,6E9642DDB353D044931029C036D1CAD832F3DFD7,2020-09-25 12:31:39.443000,2020-09-25 12:31:45.250000
a5cl4kyf6owgbr4l,failed,not_found,318,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,4DB0490A0420809A8149E778BBAC8F1E9349D9EC,71DF8174D809D862445BFCB89F5A0980099947EC,C9FAA93525ACE580BDB03ABC662ED2045262BD89,2020-09-25 12:31:45.251000,2020-09-25 12:31:53.351000
a5cl4kyf6owgbr4l,failed,not_found,540,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,63DE54637F349FD686CF1C036827B5BE826B9F7C,B204DE75B37064EF6A4C6BAF955C5724578D0B32,6E94866ED8CA098BACDFD36D4E8E2B459B8A734E,2020-09-25 12:31:53.352000,2020-09-25 12:32:08.930000
yx5xar5lr66x46oo,failed,not_found,8,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,6CDF81E5A9BF270CDF4C989D5F7917113591C355,33D88F331408141F2A2CC563239E54E48F7A211B,C596D85AB2641BEC96106AE62E5F72C751B7BE22,2020-09-25 12:31:25.257000,2020-09-25 12:31:29.069000
yx5xar5lr66x46oo,failed,not_found,34,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,F703D459983875CE9CED6AF74788A597ED662674,B9E7A637B00BBB77853A639CC33245A2FEB8F033,D380C57ADE8FF1989F67D22055CEAAD7F1689AD5,2020-09-25 12:31:29.070000,2020-09-25 12:31:32.621000
yx5xar5lr66x46oo,failed,not_found,76,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,23A2D8DDF761F35CC63BDF65E604B76A7E2F6971,43A8F247F9FA636BE30D4DFE66B55233A2D8A738,C577C56EAD654C829D1FF2F86133F89A1A59AA89,2020-09-25 12:31:32.629000,2020-09-25 12:31:35.207000
yx5xar5lr66x46oo,failed,not_found,96,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,562434D987CF49D45649B76ADCA993BEA8F78471,BFD3FC19AD1F691C01B5392DE90D3510B8D1B886,C58DE93ED11CBB74823669F7C6E41D513F2049BE,2020-09-25 12:31:35.208000,2020-09-25 12:31:37.073000
yx5xar5lr66x46oo,failed,not_found,177,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,38471394F06B2B86404768193C929313962FDC2F,867982ADCFBE55EC1C00A5B34C8991FF87605906,D39328D2EAE3816F9C5D5D1BB19D1C14E2E79482,2020-09-25 12:31:37.074000,2020-09-25 12:31:43.253000
yx5xar5lr66x46oo,failed,not_found,350,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,BA12CEF016B1D1EA93AB944C4EECAD77AB3A6DDD,F3CEC87ED91E0B0B1D86BE4D7DE90F00B607ECAF,D37DD572BDA66FC03A33F257975A7F9C167AC8E5,2020-09-25 12:31:43.254000,2020-09-25 12:31:56.504000
fj6rllx6eiug7g62,failed,not_found,9,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,AB687988F260DE9EDC3B36C66287DE2660ED1CE0,02928855BFAD787F8B363F21860D1E7D156E0655,E1DE607E31C2C0FB6F8FC959BF7B58CE35D95990,2020-09-25 12:31:25.277000,2020-09-25 12:31:28.436000
fj6rllx6eiug7g62,failed,not_found,29,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,0FF7D03AC5F31F93E3AE11ABF74313D071E11ED3,74AC10CA94E400BA4D69E397562597CA04FC5352,6BA54D7805A44F63A75D70AFEC8D2DF6BA7BCAE0,2020-09-25 12:31:28.437000,2020-09-25 12:31:31.647000
fj6rllx6eiug7g62,failed,not_found,66,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,5AC61DC0B51C83AC2E655E06B7396ECD7D34DC47,980B28A19B0A66948035A3FE143E5CF613C84122,6BCB964AB74E23F8986BDA905697D3A6BE08AF28,2020-09-25 12:31:31.647000,2020-09-25 12:31:35.351000
fj6rllx6eiug7g62,failed,not_found,142,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,9127D95DAA81291F26BE45B1A73E2F1145887B94,F2899981E3A601A7B2DDC7DDE02C248069704D9F,E1B54925C59ECE813269B9A3309B7A5EB57E9B98,2020-09-25 12:31:35.352000,2020-09-25 12:31:40.972000
fj6rllx6eiug7g62,failed,not_found,217,39CF2F22E5018C01FD57DEB1AB8FDFA4592633FB,B0537CD220A60ECF8045439658A53254C0D63DCB,F5C3DA7642BB037E0D279359AE88CD7FC03A98A0,6B9EA8927AB6E94E216067E65372182343A5AFA2,2020-09-25 12:31:40.973000,2020-09-25 12:31:46.032000
