nickname,fingerprint,is_guard,is_exit,country,region_name,city_name,latitude,longitude,as,advertised_bandwidth,guard_probability,middle_probability,exit_probability
torexit02,00052E786B0E33AC3C24270E1FE33FEE54E53F4D,False,True,us,New York,Buffalo,42.8864,-78.8784,AS53667,0,0.0,0.0,6.820911e-05
flageolet,0006DE2E77E3C3EC5E1825B076E5257FD200ED0A,True,False,gb,England,Hinckley,52.5139,-1.3412,AS5089,3774873,3.5558456e-05,2.4878302e-05,0.0
seele,000A10D43011EA4928A35F610405F92B4433B4DC,False,False,us,California,Sunnyvale,37.3479,-122.0351,AS7922,102400,0.0,3.5554652e-07,0.0
CalyxInstitute14,0011BD2485AD45D984EC4159C88FC066E5E3300E,True,True,us,New York,Brooklyn,40.6521,-74.0018,AS4224,41301385,0.0,0.0,0.0015242259
220VoltLive2,0012E2C9067307BCD6072179C33B35665ECC8828,False,False,au,Tasmania,Moonah,-42.8452,147.2948,AS4804,1396736,0.0,7.4309223e-06,0.0
0x616e6f6e,0020D8A204A81FC8C8A1D79E2324621705DE4F2F,True,True,md,Chi\u0219in\u0103u Municipality,Chisinau,47.0052,28.8573,AS43289,9518244,0.0,0.0,0.0003589552
skylarkRelay,00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,True,False,ua,unknown,unknown,50.45,30.5233,AS31343,9250816,0.00019096983,0.00013361112,0.0
rotor25,00342C0E155D4542E55391788B2D779F14578DEB,True,False,ro,Cluj,Cluj-Napoca,46.7667,23.6,AS8708,4040745,7.739194e-05,5.414689e-05,0.0
xX0seamus0Xx,003BFA1B6CC5CBEFD5D0082F8FC9AF2A8868A8FB,True,False,lt,unknown,unknown,56.0,24.0,AS16125,26214400,0.0007132608,0.00049902947,0.0
VSIFskylab,003D78825E0B9609EECFF5E4E0529717772E53C7,True,True,ca,British Columbia,New Westminster,49.2201,-122.8998,AS53356,5576589,0.0,0.0,0.00016004372
Unnamed,0042B9F5B608D06DBFF5C075C84F2BBB9B294A5B,False,False,ca,Quebec,Montreal,45.4995,-73.5848,AS16276,7733166,0.0,0.00021688337,0.0
iriseden,005079A42356183CEA5A3ADD239303F44F12E7EA,True,False,fr,unknown,unknown,48.8582,2.3387,AS12876,51009802,0.0019766318,0.0013829409,0.0
helga,0059D92942DB3B84E52EB4D87E9F7B195CF4D005,False,False,de,unknown,unknown,51.2993,9.491,AS24940,1048576,0.0,6.0442908e-05,0.0
Athena,005ED97213F725867E422B8DC0443361BBB24E3C,True,False,lu,Mersch,Roost,49.7867,6.0961,AS53667,20062419,0.0005271018,0.00036878424,0.0
Quintex13,0077BCBA7244DB3E6A5ED2746E86170066684887,False,True,us,unknown,unknown,37.751,-97.822,AS62744,8054659,0.0,0.0,0.0002488299
SilverbackRelay,00786179DB0E6514142F44DB4166638712F34DAE,True,False,us,Wyoming,Cheyenne,41.1034,-104.9059,AS53667,7084458,8.575863e-05,6.000061e-05,0.0
Relay5000,0085057C17BD2E1809E284825F06F94E72FB418C,True,False,de,unknown,unknown,51.2993,9.491,AS24940,64693667,0.0019870903,0.001390258,0.0
BlackBeluga,00962D2DD0B9BF3A6AF1D5EB201132388ACA1424,False,False,de,Bavaria,Nuremberg,49.405,11.1617,AS51167,1048576,0.0,2.4817147e-05,0.0
jactr,009851DF933754B00DDE876FCE4088CE1B4940C1,False,False,bg,Sofia-Capital,Sofia,42.683,23.3175,AS43561,131072,0.0,6.755384e-07,0.0
mharelay,00B57BF614F7ED3051073B5D4526FF0B23AF217B,True,False,se,Stockholm,Stockholm,59.3307,18.0718,AS8473,40553750,0.0010751204,0.00075220276,0.0
