repetition,num_adv_hsdirs,hsdir_matches_at_least,pubkeys_list_size,time
1,10,1,180,2.6000857860781252
1,10,1,360,4.698710437049158
1,10,1,540,6.935335891088471
1,10,1,720,9.027971405070275
1,10,1,900,10.887540906085633
1,10,2,180,735.1401709190104
1,10,2,360,1408.8871704700869
1,10,2,540,2214.1509340110933
1,10,2,720,2956.654281340074
1,10,2,900,3660.3051599391038
1,15,1,180,1.346060597919859
1,15,1,360,2.5216633409727365
1,15,1,540,3.6548213770147413
1,15,1,720,4.773809303995222
1,15,1,900,5.7819214559858665
1,15,2,180,194.82059571298305
1,15,2,360,412.43142967193853
1,15,2,540,635.6796365049668
1,15,2,720,827.7878319489537
1,15,2,900,1022.1935747539392
1,20,1,180,0.9058972939383239
1,20,1,360,1.8455868589226156
1,20,1,540,3.1201280259992927
1,20,1,720,4.238539028912783
1,20,1,900,5.448409343953244
1,20,2,180,145.54411590995733
1,20,2,360,283.47855679900385
1,20,2,540,413.483190961997
1,20,2,720,548.5284390609013
1,20,2,900,674.5257284259424
1,25,1,180,0.8440314939944074
1,25,1,360,1.6963621049653739
1,25,1,540,2.512360270950012
1,25,1,720,3.7303058370016515
1,25,1,900,4.889014648972079
1,25,2,180,59.86611984099727
1,25,2,360,112.40033250395209
1,25,2,540,165.3465842650039
1,25,2,720,222.56856596900616
1,25,2,900,278.4719242770225
2,10,1,180,2.0426893580006436
2,10,1,360,3.8674167150165886
2,10,1,540,5.332552080973983
2,10,1,720,7.039688016055152
2,10,1,900,8.551292994990945
2,10,2,180,539.3378405619878
2,10,2,360,1027.6477719120448
2,10,2,540,1573.976614120067
2,10,2,720,2134.4255439200206
2,10,2,900,2654.661269486067
2,15,1,180,1.655502503970638
2,15,1,360,3.209189521963708
2,15,1,540,4.6239683899329975
2,15,1,720,5.848420087015256
2,15,1,900,7.310601486009546
2,15,2,180,283.2200841999147
2,15,2,360,586.6607095029904
2,15,2,540,878.106060637976
2,15,2,720,1169.4016277119517
2,15,2,900,1474.7466185339727
2,20,1,180,1.0004525380209088
2,20,1,360,1.925681267050095
2,20,1,540,3.1218601160217077
2,20,1,720,4.514793723006733
2,20,1,900,5.688600838067941
2,20,2,180,133.61848800105508
2,20,2,360,296.97623484104406
2,20,2,540,443.3880374250002
2,20,2,720,596.7663569030119
2,20,2,900,751.2729350170121
2,25,1,180,1.0750822789268568
2,25,1,360,2.0439334099646658
2,25,1,540,3.066212111967616
2,25,1,720,4.113865079008974
2,25,1,900,5.230429771007039
2,25,2,180,142.2950322049437
2,25,2,360,268.66408603894524
2,25,2,540,393.14391622901894
2,25,2,720,518.576197020011
2,25,2,900,654.0813679950079
3,10,1,180,2.0372202550061047
3,10,1,360,4.283586393925361
3,10,1,540,6.02871091698762
3,10,1,720,7.788510893005878
3,10,1,900,9.632681380957365
3,10,2,180,783.8302458369872
3,10,2,360,1492.3324720480014
3,10,2,540,2184.3249421479413
3,10,2,720,2907.575637976988
3,10,2,900,3520.0773450469133
3,15,1,180,1.4293470089323819
3,15,1,360,2.9240164739312604
3,15,1,540,4.219058668008074
3,15,1,720,5.502022815984674
3,15,1,900,6.787830237997696
3,15,2,180,264.97980399697553
3,15,2,360,530.3215410889825
3,15,2,540,805.8968527939869
3,15,2,720,1067.4933235059725
3,15,2,900,1336.0042662059423
3,20,1,180,1.1774935200810432
3,20,1,360,2.2307365360902622
3,20,1,540,3.2859242050908506
3,20,1,720,4.4554608260514215
3,20,1,900,5.6192186860134825
3,20,2,180,148.2626188090071
3,20,2,360,320.4742148719961
3,20,2,540,474.1264100599801
3,20,2,720,642.2024205620401
3,20,2,900,810.7399104140932
3,25,1,180,1.3113002669997513
3,25,1,360,2.4942198100034148
3,25,1,540,3.612378496909514
3,25,1,720,4.574631582945585
3,25,1,900,5.656869730912149
3,25,2,180,39.90331526193768
3,25,2,360,85.54608277289663
3,25,2,540,132.53822364797816
3,25,2,720,171.8105333809508
3,25,2,900,205.86936643591616
4,10,1,180,2.015518697910011
4,10,1,360,4.304648522986099
4,10,1,540,6.218167277984321
4,10,1,720,7.945035369950347
4,10,1,900,9.834701407933608
4,10,2,180,579.0493775259238
4,10,2,360,1185.3500165069709
4,10,2,540,1879.753664179938
4,10,2,720,2527.645999256987
4,10,2,900,3117.574246631004
4,15,1,180,0.9519374610390514
4,15,1,360,1.7592070660321042
4,15,1,540,2.9827178270788863
4,15,1,720,4.242399599053897
4,15,1,900,5.334092129021883
4,15,2,180,162.7286687750602
4,15,2,360,325.47717601200566
4,15,2,540,478.988918373012
4,15,2,720,621.1869801750872
4,15,2,900,784.7180929260794
4,20,1,180,1.3462714700726792
4,20,1,360,2.4274661160307005
4,20,1,540,3.3331232930067927
